location,property_area,street,features,bed,bath,toilet,description,price
ajah,abijo,Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Room and parlour,500000.0
ajah,abijo,Destiny home estateAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Room and parlour,650000.0
ajah,abijo,Destiny HomeAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Mini flat,350000.0
ajah,abijo,Amity estateAbijo Ajah Lagos,4 beds 4 baths 5 Toilets,4,4,5,4 bedrooms duplex,1700000.0
ajah,abijo,Amty estateAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,Newly built 3 bedroom duplex,2000000.0
ajah,abijo,Fidiso estateAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,3 bedroom flat,1500000.0
ajah,abijo,"Location: Agungi, LekkiAbijo Ajah Lagos",2 beds 2 baths 2 Toilets,2,2,2,Well Finished 2-Bedroom Flat,2000000.0
ajah,abijo,Destiny home estateAbijo Ajah Lagos,1 beds 2 baths 2 Toilets,1,2,2,A newly built room and parlor self contained (1bedroom Apartment) with 2toilets new house,450000.0
ajah,abijo,Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,1 Bedroom Apartment / Flat to rent in Lekki,400000.0
ajah,abijo,Majek first gateAbijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,This magnificent brand new 2bedroom flat,600000.0
ajah,abijo,Abijo GRAAbijo Ajah Lagos,1 beds 1 baths 2 Toilets,1,1,2,brand new Miniflat,400000.0
ajah,abijo,Fidisco Area Abijo Abijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,Standard 2 Bedroom Flat All Room Ensuite Ensuite with POP,700000.0
ajah,abijo,AbijoAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Mini flat available,450000.0
ajah,abijo,Abijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,3 bedroom flat,750000.0
ajah,abijo,Chois Garden Estate Abijo GRAAbijo Ajah Lagos,4 beds 3 baths 4 Toilets,4,3,4,4 bedroom semi-detached duplex for rent,1500000.0
ajah,abijo,-Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,1 Bedroom Apartment,450000.0
ajah,abijo,Fara Park EstateAbijo Ajah Lagos,3 beds 0 baths 0 Toilets,3,0,0,Brand new 3 bedroom terrace duplex,1500000.0
ajah,abijo,GRAAbijo Ajah Lagos,2 beds 0 baths 0 Toilets,2,0,0,2 bedroom flat,500000.0
ajah,abijo,"PEACELAND ESTATE,Abijo Ajah Lagos",3 beds 0 baths 0 Toilets,3,0,0,3 bedroom Duplex In A Security Tight Estate,1500000.0
ajah,abijo,Rainoil filling station abijoAbijo Ajah Lagos,2 beds 3 baths 3 Toilets,2,3,3,Two bedroom flat,800000.0
ajah,abijo,"VICTORY VILLA, Abijo Ajah Lagos",3 beds 3 baths 3 Toilets,3,3,3,Luxury 3 bedroom duplex,1000000.0
ajah,abijo,PALMSBAY ESTATEAbijo Ajah Lagos,1 beds 0 baths 0 Toilets,1,0,0,Spacious mini flat,300000.0
ajah,abijo,-Abijo Ajah Lagos,3 beds 0 baths 0 Toilets,3,0,0,3 bedroom flat upstairs,1000000.0
ajah,abijo,-Abijo Ajah Lagos,1 beds 1 baths 0 Toilets,1,1,0,Self contained,200000.0
ajah,abijo,-Abijo Ajah Lagos,2 beds 0 baths 0 Toilets,2,0,0,2 bedroom flat,500000.0
ajah,abijo,EKUNDAYO STREETAbijo Ajah Lagos,1 beds 1 baths 0 Toilets,1,1,0,Nice Mini Flat,220000.0
ajah,abijo,LABORAAbijo Ajah Lagos,1 beds 0 baths 0 Toilets,1,0,0,Brand New 1 bedroom Apartments,500000.0
