location,property_area,bed,street,features,bath,toilet,description,price,median_price,Maxi,Min
ajah,abijo,1,Destiny HomeAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,MINI FLAT,350000.0,350000.0,450000.0,300000.0
ajah,abijo,1,Destiny home estateAbijo Ajah Lagos,1 beds 2 baths 2 Toilets,2,2,A NEWLY BUILT ROOM AND PARLOR SELF CONTAINED (1BEDROOM APARTMENT) WITH 2TOILETS NEW HOUSE,450000.0,350000.0,450000.0,300000.0
ajah,abijo,1,Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1 BEDROOM APARTMENT / FLAT TO RENT IN LEKKI,400000.0,350000.0,450000.0,300000.0
ajah,abijo,1,AbijoAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,MINI FLAT AVAILABLE,450000.0,350000.0,450000.0,300000.0
ajah,abijo,1,-Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1 BEDROOM APARTMENT,450000.0,350000.0,450000.0,300000.0
ajah,abijo,1,PALMSBAY ESTATEAbijo Ajah Lagos,1 beds 0 baths 0 Toilets,0,0,SPACIOUS MINI FLAT,300000.0,350000.0,450000.0,300000.0
ajah,abijo,1,-Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,NEWLY BUILT MINI FLAT,300000.0,350000.0,450000.0,300000.0
ajah,abijo,1,ShopriteAbijo Ajah Lagos,1 beds 0 baths 0 Toilets,0,0,CLEAN MINI FLAT,350000.0,350000.0,450000.0,300000.0
ajah,abijo,1,GRAAbijo Ajah Lagos,1 beds 0 baths 0 Toilets,0,0,MINI FLAT WITH 2 TOILETS,300000.0,350000.0,450000.0,300000.0
ajah,abijo,1,"Opposite destiny home, beside NNPC filling station, close to the roadAbijo Ajah Lagos",1 beds 1 baths 1 Toilets,1,1,"A ROOM AND PARLOR, MINI FLAT",350000.0,350000.0,450000.0,300000.0
ajah,abijo,1,In an Estate before Abijo after Crown Estate in Ajah axis Lekki. Abijo Ajah Lagos,1 beds 2 baths 2 Toilets,2,2,A VERY FINE MINI FLAT FOR RENT IN AN ESTATE BEFORE ABIJO AFTER CROWN ESTATE IN AJAH AXIS LEKKI.,450000.0,350000.0,450000.0,300000.0
ajah,abijo,1,Abijo Ajah Lagos,1 beds 1 baths 2 Toilets,1,2,BRAND NEW MINI FLAT AT ABIJO,450000.0,350000.0,450000.0,300000.0
ajah,abijo,1,Fidiso Estate Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,ROOM SND PARLOUR FOR RENT,350000.0,350000.0,450000.0,300000.0
ajah,abijo,1,road3Abijo Ajah Lagos,1 beds 2 baths 1 Toilets,2,1,BRAND NEW MINI FLAT,370000.0,350000.0,450000.0,300000.0
ajah,abijo,1,Fidiso Estate;Abijo Ajah Lagos,1 beds 1 baths Toilets,1,0,WELL RENOVATED 1 BEDROOM MINI FLAT,400000.0,350000.0,450000.0,300000.0
ajah,abijo,1,Abijo GRAAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1 BEDROOM FLAT,300000.0,350000.0,450000.0,300000.0
ajah,abijo,1,GRAAbijo Ajah Lagos,1 beds 1 baths 2 Toilets,1,2,MINI FLAT,400000.0,350000.0,450000.0,300000.0
ajah,abijo,1,omesia streetAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,BRAND NEW MINI FLAT,450000.0,350000.0,450000.0,300000.0
ajah,abijo,1,lane 2Abijo Ajah Lagos,1 beds 2 baths 1 Toilets,2,1,DECENT MINI FLAT,450000.0,350000.0,450000.0,300000.0
ajah,abijo,1,5Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,BRAND-NEW MINI FLAT,300000.0,350000.0,450000.0,300000.0
ajah,abijo,1,-Abijo Ajah Lagos,0 beds 0 baths 0 Toilets,0,0,LOVELY SELF CONTAIN,350000.0,350000.0,450000.0,300000.0
ajah,abijo,1,Destiny Homes EstateAbijo Ajah Lagos,1 beds 1 baths 2 Toilets,1,2,1 BEDROOM FLAT,400000.0,350000.0,450000.0,300000.0
ajah,abijo,1,-Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,MINI FLAT,350000.0,350000.0,450000.0,300000.0
ajah,abijo,1,Kingdom Hall Abijo Ajah Lagos,1 beds 2 baths 2 Toilets,2,2,MINI FLAT,400000.0,350000.0,450000.0,300000.0
ajah,abijo,1,-Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,MINI FLAT,300000.0,350000.0,450000.0,300000.0
